"period","final_category","n_teachers","teachers_before","rate_pct"
"Pre-COVID (2017-2019)","Non-academic role (99 series)",88,10108,0.87
"Pre-COVID (2017-2019)","Coaching & curriculum leadership",50,10108,0.49
"Pre-COVID (2017-2019)","Counseling & student support",43,10108,0.43
"Pre-COVID (2017-2019)","Interventionist / specialist",32,10108,0.32
"Pre-COVID (2017-2019)","Other teaching roles",29,10108,0.29
"Pre-COVID (2017-2019)","Administration",25,10108,0.25
"Pre-COVID (2017-2019)","Other / unclear",15,10108,0.15
"Post-COVID (2024-2026)","Non-academic role (99 series)",247,9919,2.49
"Post-COVID (2024-2026)","Coaching & curriculum leadership",192,9919,1.94
"Post-COVID (2024-2026)","Interventionist / specialist",81,9919,0.82
"Post-COVID (2024-2026)","Other teaching roles",58,9919,0.58
"Post-COVID (2024-2026)","Other / unclear",42,9919,0.42
"Post-COVID (2024-2026)","Administration",41,9919,0.41
"Post-COVID (2024-2026)","Counseling & student support",36,9919,0.36
